Issue key,Issue id,Parent id,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint
NCIS-204,407370,407146,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-205,407372,,NCIS Sprint 4,,,,,,
NCIS-206,407373,,,,,,,,
NCIS-207,407374,,NCIS Sprint 4,,,,,,
NCIS-208,408299,,,,,,,,
NCIS-209,408300,,,,,,,,
NCIS-210,408301,,,,,,,,
NCIS-211,408303,,,,,,,,
NCIS-212,408304,,,,,,,,
NCIS-213,408305,,,,,,,,
NCIS-214,408306,,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,
NCIS-215,408307,,,,,,,,
NCIS-216,408308,,,,,,,,
NCIS-217,408309,,,,,,,,
NCIS-218,408310,,,,,,,,
NCIS-219,408311,,,,,,,,
NCIS-220,408312,,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-221,408313,,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-222,408314,,,,,,,,
NCIS-223,408315,,,,,,,,
NCIS-224,408316,,,,,,,,
NCIS-225,408317,,,,,,,,
NCIS-226,408318,,,,,,,,
NCIS-227,408319,,,,,,,,
NCIS-228,408320,,,,,,,,
NCIS-229,408321,,,,,,,,
NCIS-230,408322,,,,,,,,
NCIS-231,408323,,,,,,,,
NCIS-232,408324,,NCIS Sprint 12,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,
NCIS-233,408325,,,,,,,,
NCIS-234,408326,,,,,,,,
NCIS-235,408327,,,,,,,,
NCIS-236,408358,,,,,,,,
NCIS-237,408363,,,,,,,,
NCIS-238,408364,,,,,,,,
NCIS-239,408366,,,,,,,,
NCIS-240,408368,,,,,,,,
NCIS-241,408497,,,,,,,,
NCIS-242,410337,,,,,,,,
NCIS-243,411214,,,,,,,,
NCIS-244,411215,,,,,,,,
NCIS-245,411861,,,,,,,,
NCIS-246,412860,,,,,,,,
NCIS-247,412861,,,,,,,,
NCIS-248,412862,,,,,,,,
NCIS-249,412863,,,,,,,,
NCIS-250,413798,,NCIS Sprint 5,,,,,,
NCIS-252,414327,330843,,,,,,,
NCIS-253,414934,,NCIS Sprint 5,,,,,,
NCIS-254,414935,,NCIS Sprint 5,,,,,,
NCIS-255,415765,,,,,,,,
